Code agence;Commune;Tournee;Code INSEE;Latitude;Longitude;CP;Zone;UM;Poids
NT50V;BION;11;50056;48.6208343505857;-0.919166982173924;50140;Zone 2;3.0;952.7
NT14G;BISSIERES;29;14075;49.1133346557618;-0.0919440016150496;14370;Zone 1;3.0;380.0
NT50T;BIVILLE;1, 2, 4;50057;49.6138877868652;-1.81888902187352;50440;Zone 1;13.0;1446.0
NT61L;BIVILLIERS;7;61045;48.5797233581538;0.618888974189788;61190;Zone 3;1.0;584.0
NT61L;BIZOU;7;61046;48.4966659545898;0.750277996063206;61290;Zone 3;5.0;1064.0
NT50V;BLAINVILLE SUR MER;1, 13, 21, 5, 9;50058;49.0663871765138;-1.58166694641108;50560;Zone 2;721.0;38821.38
NT14G;BLAINVILLE SUR ORNE;10, 18, 22, 39;14076;49.229999542236;-0.300832986831671;14550;Zone 1;2257.0;128641.216
NT14G;BLANGY LE CHATEAU;13, 24, 28, 54;14077;49.2430572509772;0.27416700124741;14130;Zone 3;100.0;9022.619
NT14G;BLAY;51;14078;49.2716674804688;-0.839166998863237;14400;Zone 3;5.0;244.0
NT61L;BLEVES;16;72037;48.454;0.339606;72600;Zone 2;1.0;25.0
NT14G;BLONVILLE SUR MER;52;14079;49.3358345031742;0.0313890017569069;14910;Zone 2;143.0;8230.411
NT50S;BLOSVILLE;4, 5;50059;49.3738899230963;-1.28972196578982;50480;Zone 3;5.0;1091.0
NT61L;BOCQUENCE;5;61047;48.8338890075681;0.466111004352572;61550;Zone 3;5.0;466.13
NT61L;BOECE;16;61048;48.516109466553;0.45444399118423;61560;Zone 2;5.0;505.0
NT61L;BOISCHAMPRE;11, 24;61375;48.6663894653322;0.0066669997759161;61570;Zone 2;12.0;1192.0
NT50V;BOISROGER;13;50061;49.0913887023927;-1.54083299636838;50200;Zone 2;2.0;1320.0
NT61L;BOISSEI LA LANDE;24;61049;48.6830558776861;0.0619440004229536;61570;Zone 2;3.0;175.0
NT14G;BOISSEY;33;14081;49.0169448852542;0.0458329990506169;14170;Zone 2;3.0;163.14
NT61L;BOISSY MAUGIS;8;61050;48.4416656494139;0.712499976158161;61110;Zone 3;9.0;889.9
NT50V;BOISYVON;15;50062;48.8066673278812;-1.12777805328372;50800;Zone 1;2.0;200.0
NT61L;BOITRON;16, 6;61051;48.5594444274898;0.266389012336728;61500;Zone 2;33.0;746.451
NT50S;BOLLEVILLE;9;50063;49.302501678467;-1.57333302497861;50250;Zone 3;1.0;66.0
NT14G;BONNEBOSQ;16, 29, 54;14083;49.205554962158;0.0794439986348149;14340;Zone 2;81.0;4926.3279999999995
NT61L;BONNEFOI;6;61052;48.671943664551;0.568611025810237;61270;Zone 3;5.0;1114.0
NT50S;BONNEMAISON;15;14084;49.0105552673341;-0.583055973052989;14260;Zone 2;9.0;538.6
NT14G;BONNEVILLE LA LOUVET;24, 30;14085;49.2744445800782;0.336944013833999;14130;Zone 3;25.0;699.7
NT14G;BONNEVILLE SUR TOUQUES;13, 28, 30, MAINIER;14086;49.3369445800779;0.119167000055309;14800;Zone 2;113.0;7122.6
NT14G;BONNOEIL;15;14087;48.9241676330573;-0.368611007928852;14700;Zone 2;5.0;1062.0
NT14G;BONS TASSILLY;27;14088;48.9586105346681;-0.236388996243478;14420;Zone 2;9.0;1349.9
NT61L;BONSMOULINS;6;61053;48.6511116027831;0.535556018352511;61380;Zone 3;13.0;1747.322
NT61L;BOUCE;11, 24, 4;61055;48.6466674804691;-0.0894439965486507;61570;Zone 2;42.0;11513.47
NT50V;BOUCEY;20, 21;50065;48.553494190705;-1.492155669269;50170;Zone 2;6.0;2401.0
NT14G;BOUGY;26;14089;49.1124992370611;-0.524443984031681;14210;Zone 1;17.0;1795.8
NT14G;BOULON;15, 31, 50;14090;49.044723510742;-0.391110986471181;14220;Zone 1;38.0;1448.98
NT14G;BOURGEAUVILLE;13, 30, 52;14091;49.2727775573731;0.055555999279022;14430;Zone 2;12.0;791.0
NT14G;BOURGUEBUS;19, 20, 27, 36, 40, 43, 50;14092;49.1213874816891;-0.297221988439557;14540;Zone 1;2558.0;173907.176
NT50V;BOURGUENOLLES;1, 17, 19, 21, 3, 9;50069;48.7894439697271;-1.26861095428468;50800;Zone 1;244.0;10591.764
NT50V;BOURGVALLEES;1, 12, 14, 3;50546;49.0491676330571;-1.12777805328372;50750;Zone 2;122.0;4898.111
NT50S;BOUTTEVILLE;4, 5;50070;49.3897209167477;-1.25861096382142;50480;Zone 3;3.0;231.0
NT50V;BRAFFAIS;21;50071;48.757499694824;-1.26027798652649;50870;Zone 1;1.0;245.0
NT50V;BRAINVILLE;13, 9;50072;49.0863876342768;-1.4988889694214;50200;Zone 2;3.0;175.0
NT14G;BRANVILLE;13, 30, MAINIER;14093;49.273334503174;0.0252780001610518;14430;Zone 2;50.0;3888.022
NT50T;BRANVILLE HAGUE;4;50073;49.655555725098;-1.78527796268461;50440;Zone 1;1.0;32.4
NT50V;BRECEY;1, 15, 17, 19, 20, 21, 3, 9;50074;48.7263908386229;-1.16583299636842;50370;Zone 1;919.0;93809.243
NT50V;BREHAL;1, 10, 21, 3, 9;50076;48.9008331298829;-1.51333296298983;50290;Zone 2;813.0;23122.82
NT50S;BREMOY;15;14096;48.99055480957;-0.778889000415789;14260;Zone 1;30.0;879.0
NT61L;BRETHEL;6;61060;48.7202796936038;0.539166986942288;61270;Zone 3;1.0;138.0
NT61L;BRETONCELLES;14, 40, 8, 95;61061;48.432498931885;0.886111021041848;61110;Zone 3;167.0;11169.514000000001
NT50T;BRETTEVILLE;1, 3, 5, 6, 8;50077;49.655277252197;-1.52666699886318;50110;Zone 1;40.0;1294.1
NT14G;BRETTEVILLE L ORGUEILLEUSE;19, 31, 57;14098;49.2105560302728;-0.510555982589722;14740;Zone 1;769.0;58261.426
NT14G;BRETTEVILLE LE RABET;27;14097;49.024444580078;-0.260277986526491;14190;Zone 1;1.0;43.0
NT50S;BRETTEVILLE SUR AY;9;50078;49.2616653442381;-1.63111102581019;50430;Zone 3;24.0;1526.435
NT14G;BRETTEVILLE SUR DIVES;29, 33, 42;14099;49.0394439697267;-0.0183329991996289;14170;Zone 2;11.0;66.0
NT14G;BRETTEVILLE SUR LAIZE;27;14100;49.0458335876463;-0.32499998807907;14680;Zone 1;368.0;14071.673
