Agence entree reseau;Agence sortie reseau;D‚partement;INSEE;Cp;Ville;PS;Correspondant;Ligne depart;UM;Poids;Latitude;Longitude;Zone
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;650;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;29;1;98;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14020;14370;ARGENCES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;42;1;70;49.1269454956047;-0.16361099481583;Zone 1
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;800;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;960;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;936;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;450;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;245;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;190;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 61 LONRAI;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;230;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14021;14117;ARROMANCHES LES BAINS;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;583;49.338611602783;-0.623055994510675;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14022;14960;ASNELLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;356;49.334167480469;-0.581667006015779;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14022;14960;ASNELLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;39;1;300;49.334167480469;-0.581667006015779;Zone 2
NORMATRANS 50 VILLEDIEU;NORMATRANS 14 GRENTHEVILLE;14;14022;14960;ASNELLES;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;380;49.334167480469;-0.581667006015779;Zone 2
NORMATRANS 14 GRENTHEVILLE;NORMATRANS 14 GRENTHEVILLE;14;14026;14250;AUDRIEU;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;20;1;517;49.2072219848631;-0.594166994094859;Zone 2
NORMATRANS 50 VILLEDIEU;NORMATRANS 14 GRENTHEVILLE;14;14026;14250;AUDRIEU;[NT14G] NORMATRANS 14 GRENTHEVILLE;NT14G;140;1;220;49.2072219848631;-0.594166994094859;Zone 2
